areaType,areaCode,areaName,date,Age[ 0- 4],Age[ 5- 9],Age[10-14],Age[15-19],Age[20-24],Age[25-29],Age[30-34],Age[35-39],Age[40-44],Age[45-49],Age[50-54],Age[55-59],Age[60-64],Age[65-69],Age[70-74],Age[75-79],Age[80-84],Age[85-89],Age[90+]
unknown,unknown,unknown,2020-01-01,0,0,3,3,41,31,28,5,330,465,1993,3323,487,1145,86,35,28,3,39
unknown,unknown,unknown,2020-01-02,0,1,12,4,52,41,26,15,335,934,495,1642,323,1436,213,34,4,12,29
unknown,unknown,unknown,2020-01-03,4,1,0,6,51,40,23,42,319,344,2937,2147,195,1441,209,2,5,2,36
unknown,unknown,unknown,2020-01-04,3,0,5,8,37,23,39,16,122,783,2300,855,901,424,34,53,5,6,6
unknown,unknown,unknown,2020-01-05,1,3,1,2,24,7,24,35,207,582,365,3126,59,585,13,1,5,12,22
unknown,unknown,unknown,2020-01-06,3,2,4,10,36,51,41,46,322,146,2748,1155,92,51,176,16,12,18,15
unknown,unknown,unknown,2020-01-07,2,2,11,8,63,58,7,47,63,969,2373,635,309,1025,176,13,6,15,9
unknown,unknown,unknown,2020-01-08,0,2,10,9,47,26,35,29,108,518,84,208,846,803,109,30,11,19,36
unknown,unknown,unknown,2020-01-09,3,3,6,8,28,47,10,22,86,321,2034,1359,758,1648,124,43,20,13,16
unknown,unknown,unknown,2020-01-10,1,3,4,1,7,53,20,31,107,816,3600,2368,331,643,111,38,26,1,31
unknown,unknown,unknown,2020-01-11,1,1,7,9,11,37,20,19,155,1018,1187,1465,880,1573,59,18,27,12,29
unknown,unknown,unknown,2020-01-12,3,3,12,1,35,18,16,35,354,5,566,585,555,1341,45,11,17,11,11
unknown,unknown,unknown,2020-01-13,1,3,1,5,10,17,43,13,443,19,1073,885,724,1088,158,45,19,13,18
unknown,unknown,unknown,2020-01-14,2,3,9,4,17,46,28,6,256,850,1810,2512,459,1528,141,23,22,12,25
unknown,unknown,unknown,2020-01-15,1,3,2,9,7,36,51,11,395,867,3241,1269,844,1579,51,38,20,1,14
unknown,unknown,unknown,2020-01-16,3,0,10,4,3,24,37,23,407,1135,3461,2726,737,1518,60,40,10,18,11
unknown,unknown,unknown,2020-01-17,4,1,3,6,29,35,52,45,319,407,1791,2744,123,1210,134,20,23,4,25
unknown,unknown,unknown,2020-01-18,0,3,9,9,15,44,14,16,185,1418,1465,1617,36,1079,111,51,18,9,37
unknown,unknown,unknown,2020-01-19,1,1,8,3,44,14,14,3,34,587,2214,80,545,570,167,7,2,19,1
unknown,unknown,unknown,2020-01-20,1,2,11,2,6,39,14,6,28,1339,1207,986,836,816,122,1,24,0,20
unknown,unknown,unknown,2020-01-21,4,2,8,4,57,44,43,10,15,799,654,2099,185,1511,25,59,12,5,12
unknown,unknown,unknown,2020-01-22,0,2,6,9,28,23,1,45,89,722,275,2083,67,1652,206,17,15,3,28
unknown,unknown,unknown,2020-01-23,3,2,10,7,53,52,37,7,333,1411,931,393,688,1398,107,42,1,8,9
unknown,unknown,unknown,2020-01-24,4,0,0,7,58,47,11,40,217,562,651,2229,287,229,17,57,14,15,28
unknown,unknown,unknown,2020-01-25,1,2,5,5,7,25,52,36,239,151,1580,362,209,1262,219,31,14,19,13
unknown,unknown,unknown,2020-01-26,4,0,6,2,10,39,13,4,420,96,1001,376,391,923,179,14,19,8,21
unknown,unknown,unknown,2020-01-27,3,0,9,7,45,25,40,10,262,1196,323,2619,38,484,8,41,23,7,38
unknown,unknown,unknown,2020-01-28,1,0,4,0,52,30,1,35,433,713,1394,324,274,339,67,51,3,23,3
unknown,unknown,unknown,2020-01-29,3,0,12,4,48,37,49,0,109,125,3520,3133,279,1061,184,8,22,4,2
unknown,unknown,unknown,2020-01-30,1,1,0,10,4,29,28,46,438,1310,405,3270,594,994,221,57,5,20,29
unknown,unknown,unknown,2020-01-31,1,2,8,3,64,19,35,34,291,881,2731,1351,741,594,142,8,6,4,38
unknown,unknown,unknown,2020-02-01,0,1,7,8,39,2,41,25,97,600,2556,1787,846,754,78,58,15,18,25
unknown,unknown,unknown,2020-02-02,3,1,9,6,19,24,32,9,307,1243,703,175,689,491,20,31,25,15,28
unknown,unknown,unknown,2020-02-03,1,3,6,10,4,16,0,46,266,1085,1303,1212,549,608,19,27,23,4,17
unknown,unknown,unknown,2020-02-04,2,0,3,2,51,51,34,10,29,1007,1542,205,343,615,167,37,14,1,15
unknown,unknown,unknown,2020-02-05,0,3,11,7,40,51,35,37,381,989,1632,2646,796,1323,197,1,2,17,2
unknown,unknown,unknown,2020-02-06,4,3,9,8,31,58,40,18,248,207,1551,563,144,954,222,29,18,4,13
unknown,unknown,unknown,2020-02-07,0,1,3,5,17,1,54,5,5,294,1292,1943,655,1254,79,55,11,21,37
unknown,unknown,unknown,2020-02-08,0,3,4,3,46,27,19,13,411,877,2013,1172,851,378,170,48,15,7,16
unknown,unknown,unknown,2020-02-09,4,1,7,0,2,1,30,36,467,460,408,702,894,560,150,4,21,9,11
unknown,unknown,unknown,2020-02-10,1,2,1,9,23,38,28,19,128,471,99,2430,854,22,23,38,5,0,31
